time,Theta-Q
ordinal,kelvin
7.351136625138889067e+05,3.274295000000000186e+02
7.351136625370370457e+05,3.276340999999999894e+02
7.351136625601851847e+05,3.278386999999999603e+02
7.351136625833333237e+05,3.278386999999999603e+02
7.351136626064814627e+05,3.279409999999999741e+02
7.351136626296296017e+05,3.280433000000000447e+02
7.351136626527778571e+05,3.281456000000000017e+02
7.351136626759259962e+05,3.282479000000000156e+02
7.351136626990741352e+05,3.284524999999999864e+02
7.351136627222222742e+05,3.285548000000000002e+02
7.351136627453704132e+05,3.288616999999999848e+02
7.351136627685185522e+05,3.290663000000000125e+02
7.351136627916666912e+05,3.291685999999999694e+02
7.351136628148148302e+05,3.291685999999999694e+02
7.351136628379629692e+05,3.291685999999999694e+02
7.351136628611111082e+05,3.291685999999999694e+02
7.351136628842592472e+05,3.291685999999999694e+02
7.351136629074073862e+05,3.292708999999999833e+02
7.351136629305555252e+05,3.293731999999999971e+02
7.351136629537037807e+05,3.293731999999999971e+02
7.351136629768519197e+05,3.292708999999999833e+02
7.351136630000000587e+05,3.292708999999999833e+02
7.351136630231481977e+05,3.291685999999999694e+02
7.351136630462963367e+05,3.292708999999999833e+02
7.351136630694444757e+05,3.293731999999999971e+02
7.351136630925926147e+05,3.293731999999999971e+02
7.351136631157407537e+05,3.294755000000000109e+02
7.351136631388888927e+05,3.294755000000000109e+02
7.351136631620370317e+05,3.294755000000000109e+02
7.351136631851851707e+05,3.294755000000000109e+02
7.351136632083333097e+05,3.295778000000000247e+02
7.351136632314814487e+05,3.296800999999999817e+02
7.351136632546297042e+05,3.296800999999999817e+02
7.351136632777778432e+05,3.296800999999999817e+02
7.351136633009259822e+05,3.297823999999999955e+02
7.351136633240741212e+05,3.296800999999999817e+02
7.351136633472222602e+05,3.296800999999999817e+02
7.351136633703703992e+05,3.295778000000000247e+02
7.351136633935185382e+05,3.295778000000000247e+02
7.351136634166666772e+05,3.296800999999999817e+02
7.351136634398148162e+05,3.295778000000000247e+02
7.351136634629629552e+05,3.295778000000000247e+02
7.351136634861110942e+05,3.295778000000000247e+02
7.351136635092592333e+05,3.295778000000000247e+02
7.351136635324073723e+05,3.295778000000000247e+02
7.351136635555556277e+05,3.295778000000000247e+02
7.351136635787037667e+05,3.294755000000000109e+02
7.351136636018519057e+05,3.294755000000000109e+02
7.351136636250000447e+05,3.294755000000000109e+02
7.351136636481481837e+05,3.294755000000000109e+02
7.351136636712963227e+05,3.294755000000000109e+02
7.351136636944444617e+05,3.294755000000000109e+02
7.351136637175926007e+05,3.294755000000000109e+02
7.351136637407407397e+05,3.294755000000000109e+02
7.351136637638888787e+05,3.294755000000000109e+02
7.351136637870370178e+05,3.294755000000000109e+02
7.351136638101851568e+05,3.294755000000000109e+02
7.351136638333334122e+05,3.294755000000000109e+02
7.351136638564815512e+05,3.294755000000000109e+02
7.351136638796296902e+05,3.294755000000000109e+02
7.351136639027778292e+05,3.294755000000000109e+02
7.351136639259259682e+05,3.294755000000000109e+02
7.351136639490741072e+05,3.295778000000000247e+02
7.351136639722222462e+05,3.323399000000000001e+02
7.351136639953703852e+05,3.295778000000000247e+02
7.351136640185185242e+05,3.295778000000000247e+02
7.351136640416666633e+05,3.294755000000000109e+02
7.351136640648148023e+05,3.295778000000000247e+02
7.351136640879629413e+05,3.294755000000000109e+02
7.351136641111110803e+05,3.295778000000000247e+02
7.351136641342593357e+05,3.295778000000000247e+02
7.351136641574074747e+05,3.294755000000000109e+02
7.351136641805556137e+05,3.294755000000000109e+02
7.351136642037037527e+05,3.294755000000000109e+02
7.351136642268518917e+05,3.295778000000000247e+02
7.351136642500000307e+05,3.295778000000000247e+02
7.351136642731481697e+05,3.295778000000000247e+02
7.351136642962963087e+05,3.295778000000000247e+02
7.351136643194444478e+05,3.295778000000000247e+02
7.351136643425925868e+05,3.294755000000000109e+02
7.351136643657407258e+05,3.294755000000000109e+02
7.351136643888888648e+05,3.294755000000000109e+02
7.351136644120370038e+05,3.293731999999999971e+02
7.351136644351852592e+05,3.294755000000000109e+02
7.351136644583333982e+05,3.294755000000000109e+02
7.351136644814815372e+05,3.293731999999999971e+02
7.351136645046296762e+05,3.293731999999999971e+02
