time,altitude,latitude,longitude,temperature,RH,Pressure,LWC,TAS,udvel
datenum,m,deg,deg,celsius,%,mb,g/m3,m/s,m/s
7.351136528379629599e+05,4.140000000000000000e+02,4.595689000000000135e+01,-3.075620000000014898e+00,2.374067850000000135e+01,9.246000000000000796e+01,1.045880000000000109e+03,2.246599999999999986e-01,8.713018291999999576e+01,0.000000000000000000e+00
7.351136528495370876e+05,4.180000000000000000e+02,4.595739999999999981e+01,-3.076140000000009422e+00,2.374067850000000135e+01,9.272000000000001307e+01,1.045440000000000055e+03,2.481599999999999917e-01,8.693931723999999406e+01,0.000000000000000000e+00
7.351136528611110989e+05,4.220000000000000000e+02,4.595792000000000144e+01,-3.076999999999998181e+00,2.361372300000000024e+01,9.272000000000001307e+01,1.045000000000000000e+03,2.321799999999999975e-01,8.684388439999999321e+01,0.000000000000000000e+00
7.351136528726852266e+05,4.240000000000000000e+02,4.595842999999999989e+01,-3.077510000000017953e+00,2.361372300000000024e+01,9.337000000000000455e+01,1.044670000000000073e+03,1.908199999999999896e-01,8.703475007999999491e+01,0.000000000000000000e+00
7.351136528842592379e+05,4.260000000000000000e+02,4.595895000000000152e+01,-3.078199999999981173e+00,2.348676749999999913e+01,9.310999999999999943e+01,1.044450000000000045e+03,1.889399999999999968e-01,8.693931723999999406e+01,0.000000000000000000e+00
7.351136528958333656e+05,4.290000000000000000e+02,4.595929000000000286e+01,-3.078710000000000946e+00,2.335981200000000158e+01,9.310999999999999943e+01,1.044120000000000118e+03,2.143199999999999827e-01,8.646215303999998980e+01,0.000000000000000000e+00
7.351136529074073769e+05,4.310000000000000000e+02,4.595980000000000132e+01,-3.079400000000021009e+00,2.335981200000000158e+01,9.297999999999998977e+01,1.043789999999999964e+03,2.180799999999999961e-01,8.617585451999998725e+01,0.000000000000000000e+00
7.351136529189815046e+05,4.330000000000000000e+02,4.596014999999999873e+01,-3.079740000000015243e+00,2.335981200000000158e+01,9.323999999999999488e+01,1.043570000000000164e+03,2.444000000000000061e-01,8.608042168000000061e+01,0.000000000000000000e+00
7.351136529305556323e+05,4.350000000000000000e+02,4.596083000000000141e+01,-3.080600000000004002e+00,2.323285649999999691e+01,9.350000000000000000e+01,1.043350000000000136e+03,2.171399999999999997e-01,8.598498883999998554e+01,0.000000000000000000e+00
7.351136529421296436e+05,4.360000000000000000e+02,4.596135000000000304e+01,-3.081289999999995644e+00,2.323285649999999691e+01,9.310999999999999943e+01,1.043240000000000009e+03,2.265399999999999914e-01,8.541239179999999465e+01,0.000000000000000000e+00
7.351136529537037713e+05,4.360000000000000000e+02,4.596168999999999727e+01,-3.081979999999987285e+00,2.323285649999999691e+01,9.376000000000000512e+01,1.043240000000000009e+03,1.927000000000000102e-01,8.598498883999998554e+01,0.000000000000000000e+00
7.351136529652777826e+05,4.370000000000000000e+02,4.596220999999999890e+01,-3.082490000000007058e+00,2.310590099999999936e+01,9.402000000000001023e+01,1.043130000000000109e+03,1.955199999999999994e-01,8.617585451999998725e+01,0.000000000000000000e+00
7.351136529768519104e+05,4.380000000000000000e+02,4.596289000000000158e+01,-3.083349999999995816e+00,2.310590099999999936e+01,9.376000000000000512e+01,1.043020000000000209e+03,1.823599999999999943e-01,8.579412315999999805e+01,0.000000000000000000e+00
